new_path,topic,year,author,title,original_path
01_Sceletium_Pharmacology/2019 - Manganyi - Antibacterial activity of endophytic fungi isolated from Sceletium tortuosum ....pdf,01_Sceletium_Pharmacology,2019,Madira Coutlyne Manganyi,Antibacterial activity of endophytic fungi isolated from Sceletium tortuosum L. (Kougoed),Other_Collections/Manganyi et al. - 2019 - Antibacterial activity of endophytic fungi isolate-1.pdf
01_Sceletium_Pharmacology/2019 - Manganyi - Antibacterial activity of endophytic fungi isolated from Sceletium tortuosum ..._1.pdf,01_Sceletium_Pharmacology,2019,Madira Coutlyne Manganyi,Antibacterial activity of endophytic fungi isolated from Sceletium tortuosum L. (Kougoed),Other_Collections/Manganyi et al. - 2019 - Antibacterial activity of endophytic fungi isolate.pdf
02_Ethnopharmacology/2020 - Maphanga - Screening selected medicinal plants for potential anxiolytic activity using a....pdf,02_Ethnopharmacology,2020,Veronica B. Maphanga,Screening selected medicinal plants for potential anxiolytic activity using an in vivo zebrafish model,Other_Collections/Maphanga et al. - 2020 - Screening selected medicinal plants for potential -1.pdf
02_Ethnopharmacology/2020 - Maphanga - Screening selected medicinal plants for potential anxiolytic activity using a..._1.pdf,02_Ethnopharmacology,2020,Veronica B. Maphanga,Screening selected medicinal plants for potential anxiolytic activity using an in vivo zebrafish model,Other_Collections/Maphanga et al. - 2020 - Screening selected medicinal plants for potential .pdf
01_Sceletium_Pharmacology/2022 - Maphanga - Mesembryanthemum tortuosum L. alkaloids modify anxiety-like behaviour in a ze....pdf,01_Sceletium_Pharmacology,2022,Veronica B. Maphanga,Mesembryanthemum tortuosum L. alkaloids modify anxiety-like behaviour in a zebrafish model,Other_Collections/Maphanga et al. - 2022 - Mesembryanthemum tortuosum L. alkaloids modify anx-1.pdf
01_Sceletium_Pharmacology/2022 - Maphanga - Mesembryanthemum tortuosum L. alkaloids modify anxiety-like behaviour in a ze..._1.pdf,01_Sceletium_Pharmacology,2022,Veronica B. Maphanga,Mesembryanthemum tortuosum L. alkaloids modify anxiety-like behaviour in a zebrafish model,Other_Collections/Maphanga et al. - 2022 - Mesembryanthemum tortuosum L. alkaloids modify anx.pdf
"01_Sceletium_Pharmacology/2014 - Meyer et al.   2015   GC MS, LC MSn, LC high resolution MSn, and NMR stu 1.pdf",01_Sceletium_Pharmacology,2014,,,"Other_Collections/Meyer et al. - 2015 - GC-MS, LC-MSn, LC-high resolution-MSn, and NMR stu-1.pdf"
"01_Sceletium_Pharmacology/2014 - Meyer et al.   2015   GC MS, LC MSn, LC high resolution MSn, and NMR stu.pdf",01_Sceletium_Pharmacology,2014,,,"Other_Collections/Meyer et al. - 2015 - GC-MS, LC-MSn, LC-high resolution-MSn, and NMR stu.pdf"
"02_Ethnopharmacology/2016 - Royal pharmaceuticals Bioprospecting, rights, and traditional authority in S....pdf",02_Ethnopharmacology,2016,,"Royal pharmaceuticals: Bioprospecting, rights, and traditional authority in South Africa","Other_Collections/Morris - 2016 - Royal pharmaceuticals Bioprospecting, rights, and-1.pdf"
"02_Ethnopharmacology/2016 - Royal pharmaceuticals Bioprospecting, rights, and traditional authority in S..._1.pdf",02_Ethnopharmacology,2016,,"Royal pharmaceuticals: Bioprospecting, rights, and traditional authority in South Africa","Other_Collections/Morris - 2016 - Royal pharmaceuticals Bioprospecting, rights, and.pdf"
01_Sceletium_Pharmacology/2014 - Murbach - toxicological safety assessment of a standardized extract of Sceletium tortuo....pdf,01_Sceletium_Pharmacology,2014,Timothy S. Murbach,A toxicological safety assessment of a standardized extract of Sceletium tortuosum (Zembrin®) in rats,Other_Collections/Murbach et al. - 2014 - A toxicological safety assessment of a standardize-1.pdf
01_Sceletium_Pharmacology/2014 - Murbach - toxicological safety assessment of a standardized extract of Sceletium tortuo..._1.pdf,01_Sceletium_Pharmacology,2014,Timothy S. Murbach,A toxicological safety assessment of a standardized extract of Sceletium tortuosum (Zembrin®) in rats,Other_Collections/Murbach et al. - 2014 - A toxicological safety assessment of a standardize.pdf
"04_Clinical_Trials/2013 - Nell - Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Trial of Extract....pdf",04_Clinical_Trials,2013,"Haylene Nell, Mirna Siebert, Pashini Chellan, and Nigel Gericke","A Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Trial of Extract Sceletium tortuosum (Zembrin) in Healthy Adults","Other_Collections/Nell et al. - 2013 - A Randomized, Double-Blind, Parallel-Group, Placeb-1.pdf"
"04_Clinical_Trials/2013 - Nell - Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Trial of Extract..._1.pdf",04_Clinical_Trials,2013,"Haylene Nell, Mirna Siebert, Pashini Chellan, and Nigel Gericke","A Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Trial of Extract Sceletium tortuosum (Zembrin) in Healthy Adults","Other_Collections/Nell et al. - 2013 - A Randomized, Double-Blind, Parallel-Group, Placeb.pdf"
01_Sceletium_Pharmacology/2018 - Nordling   2018   How decolonization could reshape South African sci 1.pdf,01_Sceletium_Pharmacology,2018,,,Other_Collections/Nordling - 2018 - How decolonization could reshape South African sci-1.pdf
01_Sceletium_Pharmacology/2018 - Nordling   2018   How decolonization could reshape South African sci.pdf,01_Sceletium_Pharmacology,2018,,,Other_Collections/Nordling - 2018 - How decolonization could reshape South African sci.pdf
01_Sceletium_Pharmacology/2018 - Nordling How decolonization could reshape South African sci.pdf,01_Sceletium_Pharmacology,2018,,,Other_Collections/Nordling How decolonization could reshape South African sci.pdf
05_Khoi_San_Traditional/2004 - doi10.1016j.tips.2004.01.003.pdf,05_Khoi_San_Traditional,2004,,doi:10.1016/j.tips.2004.01.003,Other_Collections/O'Donnell and Zhang - 2004 - Antidepressant effects of inhibitors of cAMP phosp-1.pdf
05_Khoi_San_Traditional/2004 - doi10.1016j.tips.2004.01.003_1.pdf,05_Khoi_San_Traditional,2004,,doi:10.1016/j.tips.2004.01.003,Other_Collections/O'Donnell and Zhang - 2004 - Antidepressant effects of inhibitors of cAMP phosp.pdf
"01_Sceletium_Pharmacology/2022 - Olatunji - Corrigendum to ˝Sceletium tortuosum A review on its phytochemistry, pharmaco....pdf",01_Sceletium_Pharmacology,2022,T.L. Olatunji,"Corrigendum to ˝Sceletium tortuosum: A review on its phytochemistry, pharmacokinetics, biological and clinical activities˛  ...",Other_Collections/Olatunji et al. - 2022 - Corrigendum to “Sceletium tortuosum A review on i-1.pdf
"01_Sceletium_Pharmacology/2022 - Olatunji - Corrigendum to ˝Sceletium tortuosum A review on its phytochemistry, pharmaco..._1.pdf",01_Sceletium_Pharmacology,2022,T.L. Olatunji,"Corrigendum to ˝Sceletium tortuosum: A review on its phytochemistry, pharmacokinetics, biological and clinical activities˛  ...",Other_Collections/Olatunji et al. - 2022 - Corrigendum to “Sceletium tortuosum A review on i.pdf
"01_Sceletium_Pharmacology/2022 - Olatunji - Sceletium tortuosum  A review on its phytochemistry, pharmacokinetics, biolo....pdf",01_Sceletium_Pharmacology,2022,T.L. Olatunji,"Sceletium tortuosum : A review on its phytochemistry, pharmacokinetics, biological, pre-clinical and clinical activities",Other_Collections/Olatunji et al. - 2022 - Sceletium tortuosum A review on its phytochemistr-1.pdf
"01_Sceletium_Pharmacology/2022 - Olatunji - Sceletium tortuosum  A review on its phytochemistry, pharmacokinetics, biolo..._1.pdf",01_Sceletium_Pharmacology,2022,T.L. Olatunji,"Sceletium tortuosum : A review on its phytochemistry, pharmacokinetics, biological, pre-clinical and clinical activities",Other_Collections/Olatunji et al. - 2022 - Sceletium tortuosum A review on its phytochemistr.pdf
03_PDE4_Neurogenesis/2017 - Olsen - Phosphodiesterase 4 inhibitors and drugs of abuse current knowledge and ther....pdf,03_PDE4_Neurogenesis,2017,"Christopher M. Olsen, Qing-song Liu",Phosphodiesterase 4 inhibitors and drugs of abuse: current knowledge and therapeutic opportunities,Other_Collections/Olsen and Liu - 2016 - Phosphodiesterase 4 inhibitors and drugs of abuse-1.pdf
03_PDE4_Neurogenesis/2017 - Olsen - Phosphodiesterase 4 inhibitors and drugs of abuse current knowledge and ther..._1.pdf,03_PDE4_Neurogenesis,2017,"Christopher M. Olsen, Qing-song Liu",Phosphodiesterase 4 inhibitors and drugs of abuse: current knowledge and therapeutic opportunities,Other_Collections/Olsen and Liu - 2016 - Phosphodiesterase 4 inhibitors and drugs of abuse.pdf
01_Sceletium_Pharmacology/2010 - Organized_Chaos - Microsoft Word - format.doc.pdf,01_Sceletium_Pharmacology,2010,Organized_Chaos,Microsoft Word - format.doc,Other_Collections/Patnala and Kanfer - 2010 - HPLC Analysis of Mesembrine-Type Alkaloids in Scel-2.pdf
01_Sceletium_Pharmacology/2010 - Organized_Chaos - Microsoft Word - format.doc_1.pdf,01_Sceletium_Pharmacology,2010,Organized_Chaos,Microsoft Word - format.doc,Other_Collections/Patnala and Kanfer - 2010 - HPLC analysis of mesembrine-type alkaloids in Scel-1.pdf
01_Sceletium_Pharmacology/2010 - Organized_Chaos - Microsoft Word - format.doc_1.pdf,01_Sceletium_Pharmacology,2010,Organized_Chaos,Microsoft Word - format.doc,Other_Collections/Patnala and Kanfer - 2010 - HPLC analysis of mesembrine-type alkaloids in Scel.pdf
01_Sceletium_Pharmacology/2013 - Patnala and Kanfer   2013   Chemotaxonomic studies of mesembrine type alkaloid 1.pdf,01_Sceletium_Pharmacology,2013,,,Other_Collections/Patnala and Kanfer - 2013 - Chemotaxonomic studies of mesembrine-type alkaloid-1.pdf
01_Sceletium_Pharmacology/2013 - Patnala and Kanfer   2013   Chemotaxonomic studies of mesembrine type alkaloid 2.pdf,01_Sceletium_Pharmacology,2013,,,Other_Collections/Patnala and Kanfer - 2013 - Chemotaxonomic studies of mesembrine-type alkaloid-2.pdf
01_Sceletium_Pharmacology/2013 - Patnala and Kanfer   2013   Chemotaxonomic studies of mesembrine type alkaloid.pdf,01_Sceletium_Pharmacology,2013,,,Other_Collections/Patnala and Kanfer - 2013 - Chemotaxonomic studies of mesembrine-type alkaloid.pdf
"01_Sceletium_Pharmacology/2023 - Patnala and Kanfer   2017   Sceletium Plant Species Alkaloidal Components, Ch 2.pdf",01_Sceletium_Pharmacology,2023,,,"Other_Collections/Patnala and Kanfer - 2017 - Sceletium Plant Species Alkaloidal Components, Ch 2.pdf"
"01_Sceletium_Pharmacology/2023 - Patnala and Kanfer   2017   Sceletium Plant Species Alkaloidal Components, Ch 1.pdf",01_Sceletium_Pharmacology,2023,,,"Other_Collections/Patnala and Kanfer - 2017 - Sceletium Plant Species Alkaloidal Components, Ch-1.pdf"
"01_Sceletium_Pharmacology/2023 - Patnala and Kanfer   2017   Sceletium Plant Species Alkaloidal Components, Ch.pdf",01_Sceletium_Pharmacology,2023,,,"Other_Collections/Patnala and Kanfer - 2017 - Sceletium Plant Species Alkaloidal Components, Ch.pdf"
01_Sceletium_Pharmacology/2015 - Pickard - Alternative models of addiction.pdf,01_Sceletium_Pharmacology,2015,Hanna Pickard,Alternative models of addiction,Other_Collections/Pickard et al. - 2015 - Alternative Models of Addiction-1.pdf
01_Sceletium_Pharmacology/2015 - Pickard - Alternative models of addiction_1.pdf,01_Sceletium_Pharmacology,2015,Hanna Pickard,Alternative models of addiction,Other_Collections/Pickard et al. - 2015 - Alternative Models of Addiction.pdf
01_Sceletium_Pharmacology/2020 - Sceletium tortuosum (Zembrin®) ameliorates experimentally induced anxiety in ..._1.pdf,01_Sceletium_Pharmacology,2020,,Sceletium tortuosum (Zembrin®) ameliorates experimentally induced anxiety in healthy volunteers,Other_Collections/Reay et al. - 2020 - Sceletium tortuosum (Zembrin ® ) 2-1.pdf
01_Sceletium_Pharmacology/2020 - Sceletium tortuosum (Zembrin®) ameliorates experimentally induced anxiety in ..._1.pdf,01_Sceletium_Pharmacology,2020,,Sceletium tortuosum (Zembrin®) ameliorates experimentally induced anxiety in healthy volunteers,Other_Collections/Reay et al. - 2020 - Sceletium tortuosum (Zembrin ® ) 2.pdf
01_Sceletium_Pharmacology/2020 - Rombaut et al.   2021   PDE inhibition in distinct cell types to reclaim t 1.pdf,01_Sceletium_Pharmacology,2020,,,Other_Collections/Rombaut et al. - 2021 - PDE inhibition in distinct cell types to reclaim t-1.pdf
01_Sceletium_Pharmacology/2020 - Rombaut et al.   2021   PDE inhibition in distinct cell types to reclaim t.pdf,01_Sceletium_Pharmacology,2020,,,Other_Collections/Rombaut et al. - 2021 - PDE inhibition in distinct cell types to reclaim t.pdf
01_Sceletium_Pharmacology/2008 - doi10.1016S0079-6123(08)00919-9.pdf,01_Sceletium_Pharmacology,2008,,doi:10.1016/S0079-6123(08)00919-9,Other_Collections/Rothman et al. - 2008 - Dopamineserotonin releasers as medications for st-1.pdf
01_Sceletium_Pharmacology/2008 - doi10.1016S0079-6123(08)00919-9_1.pdf,01_Sceletium_Pharmacology,2008,,doi:10.1016/S0079-6123(08)00919-9,Other_Collections/Rothman et al. - 2008 - Dopamineserotonin releasers as medications for st.pdf
01_Sceletium_Pharmacology/2023 - Royston A et al.   2023   (52) Kh 001 but Not Other Tested Alkaloids Derived 1.pdf,01_Sceletium_Pharmacology,2023,,,Other_Collections/Royston A et al. - 2023 - (52) Kh-001 but Not Other Tested Alkaloids Derived-1.pdf
01_Sceletium_Pharmacology/2023 - Royston A et al.   2023   (52) Kh 001 but Not Other Tested Alkaloids Derived.pdf,01_Sceletium_Pharmacology,2023,,,Other_Collections/Royston A et al. - 2023 - (52) Kh-001 but Not Other Tested Alkaloids Derived.pdf
04_Clinical_Trials/2021 - Sarris - Plant-based Medicines (Phytoceuticals) in the Treatment of Psychiatric Disord....pdf,04_Clinical_Trials,2021,"Jerome Sarris, Wolfgang Marx, Melanie M. Ashton, Chee H. Ng, Nicole Galvao-Coelho, Zahra Ayati, Zhang-Jin Zhang, Siegfried Kasper, Arun Ravindran, Brian H. Harvey, Adrian Lopresti, David Mischoulon, Jay Amsterdam, Lakshmi N. Yatham, and Michael Berk",Plant-based Medicines (Phytoceuticals) in the Treatment of Psychiatric Disorders: A Meta-review of Meta-analyses of Randomized Controlled Trials: Les médicaments à base de plantes (phytoceutiques) dans le traitement des troubles psychiatriques: une méta-revue des méta-analyses dˇessais randomisés contrôlés,Other_Collections/Sarris et al. - 2021 - Plant-based Medicines (Phytoceuticals) in the Trea-1.pdf
04_Clinical_Trials/2021 - Sarris - Plant-based Medicines (Phytoceuticals) in the Treatment of Psychiatric Disord..._1.pdf,04_Clinical_Trials,2021,"Jerome Sarris, Wolfgang Marx, Melanie M. Ashton, Chee H. Ng, Nicole Galvao-Coelho, Zahra Ayati, Zhang-Jin Zhang, Siegfried Kasper, Arun Ravindran, Brian H. Harvey, Adrian Lopresti, David Mischoulon, Jay Amsterdam, Lakshmi N. Yatham, and Michael Berk",Plant-based Medicines (Phytoceuticals) in the Treatment of Psychiatric Disorders: A Meta-review of Meta-analyses of Randomized Controlled Trials: Les médicaments à base de plantes (phytoceutiques) dans le traitement des troubles psychiatriques: une méta-revue des méta-analyses dˇessais randomisés contrôlés,Other_Collections/Sarris et al. - 2021 - Plant-based Medicines (Phytoceuticals) in the Trea.pdf
01_Sceletium_Pharmacology/2015 - Novel psychoactive substances of interest for psychiatry.pdf,01_Sceletium_Pharmacology,2015,,Novel psychoactive substances of interest for psychiatry,Other_Collections/Schifano et al. - 2015 - Novel psychoactive substances of interest for psyc 2.pdf
01_Sceletium_Pharmacology/2015 - Novel psychoactive substances of interest for psychiatry_1.pdf,01_Sceletium_Pharmacology,2015,,Novel psychoactive substances of interest for psychiatry,Other_Collections/Schifano et al. - 2015 - Novel psychoactive substances of interest for psyc-1.pdf
01_Sceletium_Pharmacology/2015 - Novel psychoactive substances of interest for psychiatry_1.pdf,01_Sceletium_Pharmacology,2015,,Novel psychoactive substances of interest for psychiatry,Other_Collections/Schifano et al. - 2015 - Novel psychoactive substances of interest for psyc.pdf
01_Sceletium_Pharmacology/2010 - Schultes   1970   The Botanical and Chemical Distribution of Halluci 1.pdf,01_Sceletium_Pharmacology,2010,,,Other_Collections/Schultes - 1970 - The Botanical and Chemical Distribution of Halluci-1.pdf
01_Sceletium_Pharmacology/2010 - Schultes   1970   The Botanical and Chemical Distribution of Halluci.pdf,01_Sceletium_Pharmacology,2010,,,Other_Collections/Schultes - 1970 - The Botanical and Chemical Distribution of Halluci.pdf
01_Sceletium_Pharmacology/2012 - Shikanga - chemotypic variation of Sceletium tortuosum alkaloids and commercial product ....pdf,01_Sceletium_Pharmacology,2012,Emmanuel Amukohe Shikanga; Alvaro M. Viljoen; Sandra Combrinck; Andrew Marston; Nigel Gericke,The chemotypic variation of Sceletium tortuosum alkaloids and commercial product formulations,Other_Collections/Shikanga et al. - 2012 - The chemotypic variation of Sceletium tortuosum al-1.pdf
01_Sceletium_Pharmacology/2012 - Shikanga - chemotypic variation of Sceletium tortuosum alkaloids and commercial product ..._1.pdf,01_Sceletium_Pharmacology,2012,Emmanuel Amukohe Shikanga; Alvaro M. Viljoen; Sandra Combrinck; Andrew Marston; Nigel Gericke,The chemotypic variation of Sceletium tortuosum alkaloids and commercial product formulations,Other_Collections/Shikanga et al. - 2012 - The chemotypic variation of Sceletium tortuosum al.pdf
02_Ethnopharmacology/2023 - Sibeko - Traditional perinatal plant knowledge in Sub-Saharan Africa Comprehensive co....pdf,02_Ethnopharmacology,2023,Lindiwe Sibeko,Traditional perinatal plant knowledge in Sub-Saharan Africa: Comprehensive compilation and secondary analysis,Other_Collections/Sibeko et al. - 2023 - Traditional perinatal plant knowledge in Sub-Sahar-1.pdf
02_Ethnopharmacology/2023 - Sibeko - Traditional perinatal plant knowledge in Sub-Saharan Africa Comprehensive co..._1.pdf,02_Ethnopharmacology,2023,Lindiwe Sibeko,Traditional perinatal plant knowledge in Sub-Saharan Africa: Comprehensive compilation and secondary analysis,Other_Collections/Sibeko et al. - 2023 - Traditional perinatal plant knowledge in Sub-Sahar.pdf
01_Sceletium_Pharmacology/2010 - Smith - effects of Sceletium tortuosum in an in vivo model of psychological stress.pdf,01_Sceletium_Pharmacology,2010,C. Smith,The effects of Sceletium tortuosum in an in vivo model of psychological stress,Other_Collections/Smith - 2011 - The effects of Sceletium tortuosum in an in vivo m-1.pdf
01_Sceletium_Pharmacology/2010 - Smith - effects of Sceletium tortuosum in an in vivo model of psychological stress_1.pdf,01_Sceletium_Pharmacology,2010,C. Smith,The effects of Sceletium tortuosum in an in vivo model of psychological stress,Other_Collections/Smith - 2011 - The effects of Sceletium tortuosum in an in vivo m.pdf
03_PDE4_Neurogenesis/2008 - Spina   2008   PDE4 inhibitors current status 2 1.pdf,03_PDE4_Neurogenesis,2008,,,Other_Collections/Spina - 2008 - PDE4 inhibitors current status 2-1.pdf
03_PDE4_Neurogenesis/2008 - Spina   2008   PDE4 inhibitors current status 2.pdf,03_PDE4_Neurogenesis,2008,,,Other_Collections/Spina - 2008 - PDE4 inhibitors current status 2.pdf
01_Sceletium_Pharmacology/2021 - Sreekissoon - In vitro and ex vivo vegetative propagation and cytokinin profiles of Sceleti....pdf,01_Sceletium_Pharmacology,2021,Amrisha Sreekissoon ,In vitro and ex vivo vegetative propagation and cytokinin profiles of Sceletium tortuosum (L.) N. E. Br.: a South African medicinal plant,Other_Collections/Sreekissoon et al. - 2021 - In vitro and ex vivo vegetative propagation and cy-1.pdf
01_Sceletium_Pharmacology/2021 - Sreekissoon - In vitro and ex vivo vegetative propagation and cytokinin profiles of Sceleti..._1.pdf,01_Sceletium_Pharmacology,2021,Amrisha Sreekissoon ,In vitro and ex vivo vegetative propagation and cytokinin profiles of Sceletium tortuosum (L.) N. E. Br.: a South African medicinal plant,Other_Collections/Sreekissoon et al. - 2021 - In vitro and ex vivo vegetative propagation and cy.pdf
01_Sceletium_Pharmacology/2023 - Stafford - Skeletons in the closet  Using a bibliometric lens to visualise phytochemic....pdf,01_Sceletium_Pharmacology,2023,Dr. GI Stafford,"Skeletons in the closet?  Using a bibliometric lens to visualise phytochemical and pharmacological activities linked to Sceletium, a mood enhancer",Other_Collections/Stafford - Skeletons in the closet – Using a bibliometric le-1.pdf
01_Sceletium_Pharmacology/2023 - Stafford - Skeletons in the closet  Using a bibliometric lens to visualise phytochemic..._1.pdf,01_Sceletium_Pharmacology,2023,Dr. GI Stafford,"Skeletons in the closet?  Using a bibliometric lens to visualise phytochemical and pharmacological activities linked to Sceletium, a mood enhancer",Other_Collections/Stafford - Skeletons in the closet – Using a bibliometric le.pdf
01_Sceletium_Pharmacology/2008 - doi10.1016j.jep.2008.08.010.pdf,01_Sceletium_Pharmacology,2008,,doi:10.1016/j.jep.2008.08.010,Other_Collections/Stafford et al. - 2008 - Review on plants with CNS-effects used in traditio-1.pdf
01_Sceletium_Pharmacology/2008 - doi10.1016j.jep.2008.08.010_1.pdf,01_Sceletium_Pharmacology,2008,,doi:10.1016/j.jep.2008.08.010,Other_Collections/Stafford et al. - 2008 - Review on plants with CNS-effects used in traditio.pdf
02_Ethnopharmacology/2004 - Group - World Bank Document.pdf,02_Ethnopharmacology,2004,World Bank Group,World Bank Document,"Other_Collections/Strengthening indigenous governance, benefit s-1.pdf"
02_Ethnopharmacology/2004 - Group - World Bank Document_1.pdf,02_Ethnopharmacology,2004,World Bank Group,World Bank Document,"Other_Collections/Strengthening indigenous governance, benefit s.pdf"
"01_Sceletium_Pharmacology/2014 - Swart and Smith   2016   Modulation of glucocorticoid, mineralocorticoid an 1.pdf",01_Sceletium_Pharmacology,2014,,,"Other_Collections/Swart and Smith - 2016 - Modulation of glucocorticoid, mineralocorticoid an-1.pdf"
"01_Sceletium_Pharmacology/2014 - Swart and Smith   2016   Modulation of glucocorticoid, mineralocorticoid an.pdf",01_Sceletium_Pharmacology,2014,,,"Other_Collections/Swart and Smith - 2016 - Modulation of glucocorticoid, mineralocorticoid an.pdf"
05_Khoi_San_Traditional/2023 - Smith - First People.pdf,05_Khoi_San_Traditional,2023,"Smith, Andrew;",First People,Other_Collections/THE-LOST-HISTORY-OF-KHOI-SAN.pdf
"01_Sceletium_Pharmacology/2019 - Terburg - Acute Effects of Sceletium tortuosum (Zembrin), a Dual 5-HT Reuptake and PDE4....pdf",01_Sceletium_Pharmacology,2019,David Terburg,"Acute Effects of Sceletium tortuosum (Zembrin), a Dual 5-HT Reuptake and PDE4 Inhibitor, in the Human Amygdala and its Connection to the Hypothalamus","Other_Collections/Terburg et al. - 2013 - Acute effects of Sceletium tortuosum (Zembrin), a -1.pdf"
"01_Sceletium_Pharmacology/2019 - Terburg - Acute Effects of Sceletium tortuosum (Zembrin), a Dual 5-HT Reuptake and PDE4..._1.pdf",01_Sceletium_Pharmacology,2019,David Terburg,"Acute Effects of Sceletium tortuosum (Zembrin), a Dual 5-HT Reuptake and PDE4 Inhibitor, in the Human Amygdala and its Connection to the Hypothalamus","Other_Collections/Terburg et al. - 2013 - Acute effects of Sceletium tortuosum (Zembrin), a .pdf"
01_Sceletium_Pharmacology/2013 - Torregrossa and Taylor   2013   Learning to forget manipulating extinction an....pdf,01_Sceletium_Pharmacology,2013,,,Other_Collections/Torregrossa and Taylor - 2013 - Learning to forget manipulating extinction and re 2-1.pdf
01_Sceletium_Pharmacology/2013 - Torregrossa and Taylor   2013   Learning to forget manipulating extinction an..._1.pdf,01_Sceletium_Pharmacology,2013,,,Other_Collections/Torregrossa and Taylor - 2013 - Learning to forget manipulating extinction and re 2.pdf
06_Related_Compounds/2013 - Correlates of hyperdiversity in southern African ice plants (Aizoaceae)_1.pdf,06_Related_Compounds,2013,,Correlates of hyperdiversity in southern African ice plants (Aizoaceae),Other_Collections/Valente et al. - 2014 - Correlates of hyperdiversity in southern African i 2-1.pdf
06_Related_Compounds/2013 - Correlates of hyperdiversity in southern African ice plants (Aizoaceae)_1.pdf,06_Related_Compounds,2013,,Correlates of hyperdiversity in southern African ice plants (Aizoaceae),Other_Collections/Valente et al. - 2014 - Correlates of hyperdiversity in southern African i 2.pdf
06_Related_Compounds/2013 - Correlates of hyperdiversity in southern African ice plants (Aizoaceae)_1.pdf,06_Related_Compounds,2013,,Correlates of hyperdiversity in southern African ice plants (Aizoaceae),Other_Collections/Valente et al. - 2014 - Correlates of hyperdiversity in southern African i 3.pdf
06_Related_Compounds/2013 - Correlates of hyperdiversity in southern African ice plants (Aizoaceae)_1.pdf,06_Related_Compounds,2013,,Correlates of hyperdiversity in southern African ice plants (Aizoaceae),Other_Collections/Valente et al. - 2014 - Correlates of hyperdiversity in southern African i.pdf
01_Sceletium_Pharmacology/2008 - doi10.1016j.jep.2008.05.029.pdf,01_Sceletium_Pharmacology,2008,,doi:10.1016/j.jep.2008.05.029,Other_Collections/Van Wyk - 2008 - A broad review of commercially important southern -1.pdf
01_Sceletium_Pharmacology/2008 - doi10.1016j.jep.2008.05.029_1.pdf,01_Sceletium_Pharmacology,2008,,doi:10.1016/j.jep.2008.05.029,Other_Collections/Van Wyk - 2008 - A broad review of commercially important southern .pdf
05_Khoi_San_Traditional/2008 - doi10.1016j.jep.2008.07.021.pdf,05_Khoi_San_Traditional,2008,,doi:10.1016/j.jep.2008.07.021,Other_Collections/Van Wyk - 2008 - A review of Khoi-San and Cape Dutch medical ethnob-1.pdf
05_Khoi_San_Traditional/2008 - doi10.1016j.jep.2008.07.021_1.pdf,05_Khoi_San_Traditional,2008,,doi:10.1016/j.jep.2008.07.021,Other_Collections/Van Wyk - 2008 - A review of Khoi-San and Cape Dutch medical ethnob.pdf
01_Sceletium_Pharmacology/2011 - potential of South African plants in the development of new medicinal products.pdf,01_Sceletium_Pharmacology,2011,,The potential of South African plants in the development of new medicinal products,Other_Collections/Van Wyk - 2011 - The potential of South African plants in the devel-1.pdf
01_Sceletium_Pharmacology/2011 - potential of South African plants in the development of new medicinal products_1.pdf,01_Sceletium_Pharmacology,2011,,The potential of South African plants in the development of new medicinal products,Other_Collections/Van Wyk - 2011 - The potential of South African plants in the devel.pdf
02_Ethnopharmacology/2019 - Ethnobotanical research in sub-Saharan Africa - documenting and analysing ind....pdf,02_Ethnopharmacology,2019,,"Ethnobotanical research in sub-Saharan Africa - documenting and analysing indigenous knowledge about medicinal, edible and other useful plants",Other_Collections/Van Wyk and Moteetee - 2019 - Ethnobotanical research in sub-Saharan Africa – do-1.pdf
02_Ethnopharmacology/2019 - Ethnobotanical research in sub-Saharan Africa - documenting and analysing ind..._1.pdf,02_Ethnopharmacology,2019,,"Ethnobotanical research in sub-Saharan Africa - documenting and analysing indigenous knowledge about medicinal, edible and other useful plants",Other_Collections/Van Wyk and Moteetee - 2019 - Ethnobotanical research in sub-Saharan Africa – do.pdf
02_Ethnopharmacology/2011 - Viljoen - South African Herbal Pharmacopoeia Monographs of Medicinal and Aromatic Plants_1.pdf,02_Ethnopharmacology,2011,Alvaro Viljoen,The South African Herbal Pharmacopoeia: Monographs of Medicinal and Aromatic Plants,Other_Collections/Viljoen - The South African Herbal Pharmacopoeia Monographs-1.pdf
02_Ethnopharmacology/2011 - Viljoen - South African Herbal Pharmacopoeia Monographs of Medicinal and Aromatic Plants_1.pdf,02_Ethnopharmacology,2011,Alvaro Viljoen,The South African Herbal Pharmacopoeia: Monographs of Medicinal and Aromatic Plants,Other_Collections/Viljoen - The South African Herbal Pharmacopoeia Monographs.pdf
02_Ethnopharmacology/2011 - Viljoen - South African Herbal Pharmacopoeia Monographs of Medicinal and Aromatic Plants_1.pdf,02_Ethnopharmacology,2011,Alvaro Viljoen,The South African Herbal Pharmacopoeia: Monographs of Medicinal and Aromatic Plants,Other_Collections/Viljoen The South African Herbal Pharmacopoeia Monographs.pdf
01_Sceletium_Pharmacology/2020 - PROF - Journal of medical research and practice.pdf,01_Sceletium_Pharmacology,2020,PROF,Journal of medical research and practice,Other_Collections/Wen et al. - 2020 - Sceletium Tortuosum Effects on Central Nervous Sy-1.pdf
